,year,region,geo_point,x,y,accidents,casualties_dead,casualties_injured,liceses_d
0,2016,Al-Baaha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,3618,185,1227,4614
1,2016,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,10212,245,920,9371
2,2016,Asir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,32684,983,2541,41367
3,2016,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,101619,1113,4893,142307
4,2016,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,10199,299,932,54507
5,2016,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,25873,514,2259,11504
6,2016,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,14475,822,4184,24540
7,2016,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,134838,2243,12383,136055
8,2016,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,3235,173,706,2153
9,2016,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,13196,193,631,4958
10,2016,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,25664,397,1513,9180
11,2016,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,141736,1430,4207,242851
12,2016,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,16031,434,1724,13610
13,2017,Al-Baaha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,1414,134,1007,4131
14,2017,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,10469,240,862,8091
15,2017,Asir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,25245,828,2368,39133
16,2017,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,81433,963,4073,126816
17,2017,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,9379,265,773,22035
18,2017,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,22161,466,2207,18345
19,2017,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,16070,580,2917,36165
20,2017,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,145541,1641,10623,142487
21,2017,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,3193,194,766,13825
22,2017,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,11540,112,374,5280
23,2017,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,22405,319,1446,6318
24,2017,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,99925,1399,4540,495307
25,2017,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,11713,348,1243,10232
